6	18	0	270
0	18	1	180
15	18	2	180
7	18	3	90
18	18	4	0
13	18	5	180
5	18	6	90
7	18	7	0
7	18	8	90
18	18	9	0
7	18	10	270
5	18	11	90
5	18	12	270
13	18	13	90
18	18	14	180
5	18	15	180
5	18	16	270
6	18	17	180
6	18	18	180
2	17	0	90
-1	17	1	0
19	17	2	0
6	17	3	0
18	17	4	0
14	17	5	90
-1	17	6	0
19	17	7	180
6	17	8	0
18	17	9	180
-1	17	10	0
16	17	11	180
16	17	12	0
6	17	13	90
18	17	14	0
5	17	15	270
-1	17	16	0
-1	17	17	0
5	17	18	270
2	16	0	0
-1	16	1	0
-1	16	2	0
7	16	3	270
18	16	4	180
5	16	5	90
19	16	6	0
-1	16	7	0
6	16	8	90
18	16	9	0
0	16	10	90
-1	16	11	0
16	16	12	180
2	16	13	270
18	16	14	180
6	16	15	90
-1	16	16	0
19	16	17	180
7	16	18	180
12	15	0	270
4	15	1	90
17	15	2	180
6	15	3	270
18	15	4	180
14	15	5	270
6	15	6	270
15	15	7	270
14	15	8	0
18	15	9	180
1	15	10	180
0	15	11	90
3	15	12	180
3	15	13	0
18	15	14	180
13	15	15	270
7	15	16	0
-1	15	17	0
5	15	18	90
18	14	0	270
18	14	1	90
18	14	2	270
18	14	3	90
22	14	4	270
18	14	5	90
18	14	6	90
18	14	7	270
18	14	8	270
22	14	9	270
18	14	10	270
18	14	11	270
18	14	12	270
18	14	13	270
22	14	14	0
18	14	15	90
18	14	16	90
18	14	17	90
18	14	18	270
14	13	0	180
3	13	1	90
0	13	2	180
12	13	3	90
18	13	4	180
14	13	5	180
7	13	6	90
6	13	7	90
12	13	8	90
18	13	9	0
14	13	10	180
13	13	11	90
10	13	12	180
13	13	13	90
18	13	14	180
13	13	15	180
6	13	16	270
6	13	17	180
5	13	18	180
7	12	0	0
-1	12	1	0
16	12	2	180
3	12	3	270
18	12	4	180
5	12	5	90
16	12	6	270
16	12	7	90
6	12	8	180
18	12	9	180
8	12	10	180
19	12	11	0
19	12	12	90
11	12	13	90
18	12	14	180
7	12	15	180
-1	12	16	0
-1	12	17	0
-1	12	18	0
8	11	0	270
-1	11	1	0
16	11	2	0
0	11	3	180
18	11	4	180
-1	11	5	0
16	11	6	270
16	11	7	270
0	11	8	90
18	11	9	180
6	11	10	180
-1	11	11	0
-1	11	12	0
11	11	13	180
18	11	14	180
-1	11	15	0
-1	11	16	0
-1	11	17	0
-1	11	18	0
0	10	0	90
6	10	1	180
1	10	2	0
0	10	3	180
18	10	4	180
13	10	5	270
5	10	6	0
5	10	7	180
14	10	8	0
18	10	9	0
8	10	10	0
11	10	11	0
9	10	12	270
13	10	13	0
18	10	14	0
13	10	15	0
14	10	16	0
-1	10	17	0
14	10	18	0
18	9	0	90
18	9	1	270
18	9	2	90
18	9	3	270
22	9	4	90
18	9	5	90
18	9	6	90
18	9	7	270
18	9	8	270
22	9	9	270
18	9	10	90
18	9	11	90
18	9	12	90
18	9	13	270
22	9	14	0
18	9	15	90
18	9	16	90
-1	9	17	90
18	9	18	270
1	8	0	180
2	8	1	180
3	8	2	180
8	8	3	270
18	8	4	180
6	8	5	0
5	8	6	180
-1	8	7	180
-1	8	8	270
18	8	9	0
13	8	10	180
15	8	11	0
14	8	12	0
13	8	13	270
18	8	14	180
6	8	15	90
7	8	16	270
4	8	17	180
5	8	18	270
3	7	0	90
-1	7	1	0
-1	7	2	0
1	7	3	270
18	7	4	0
0	7	5	270
-1	7	6	0
-1	7	7	0
5	7	8	180
18	7	9	0
7	7	10	270
-1	7	11	0
16	7	12	270
9	7	13	180
18	7	14	180
6	7	15	180
-1	7	16	0
-1	7	17	0
0	7	18	90
2	6	0	90
-1	6	1	0
-1	6	2	0
1	6	3	90
18	6	4	0
7	6	5	0
-1	6	6	0
-1	6	7	0
12	6	8	270
18	6	9	180
9	6	10	270
-1	6	11	0
-1	6	12	0
13	6	13	180
18	6	14	180
13	6	15	0
-1	6	16	0
19	6	17	90
5	6	18	90
2	5	0	180
9	5	1	270
5	5	2	270
8	5	3	180
18	5	4	180
13	5	5	270
3	5	6	90
16	5	7	180
13	5	8	0
18	5	9	0
13	5	10	270
7	5	11	0
-1	5	12	0
13	5	13	0
18	5	14	180
-1	5	15	0
7	5	16	90
5	5	17	90
13	5	18	0
18	4	0	90
18	4	1	270
18	4	2	270
18	4	3	270
22	4	4	180
18	4	5	90
18	4	6	270
18	4	7	270
18	4	8	270
22	4	9	0
18	4	10	270
18	4	11	270
18	4	12	0
18	4	13	0
22	4	14	270
18	4	15	270
18	4	16	270
18	4	17	180
18	4	18	0
7	3	0	90
6	3	1	270
2	3	2	180
14	3	3	90
18	3	4	0
6	3	5	90
14	3	6	180
13	3	7	90
6	3	8	0
18	3	9	180
14	3	10	180
1	3	11	270
3	3	12	0
13	3	13	90
18	3	14	0
6	3	15	0
17	3	16	0
-1	3	17	0
6	3	18	270
3	2	0	180
-1	2	1	0
16	2	2	0
-1	2	3	0
18	2	4	180
4	2	5	90
16	2	6	180
-1	2	7	0
7	2	8	180
18	2	9	180
1	2	10	0
6	2	11	180
-1	2	12	0
1	2	13	0
18	2	14	0
19	2	15	270
16	2	16	90
19	2	17	0
6	2	18	270
6	1	0	0
19	1	1	180
19	1	2	270
2	1	3	270
18	1	4	180
9	1	5	180
16	1	6	90
-1	1	7	0
6	1	8	180
18	1	9	180
8	1	10	270
16	1	11	270
-1	1	12	0
6	1	13	270
18	1	14	0
14	1	15	180
-1	1	16	0
16	1	17	0
5	1	18	0
0	0	0	180
6	0	1	270
0	0	2	0
14	0	3	0
-1	0	4	0
7	0	5	0
8	0	6	90
4	0	7	180
13	0	8	0
18	0	9	90
3	0	10	270
1	0	11	0
1	0	12	90
1	0	13	90
18	0	14	90
0	0	15	0
-1	0	16	0
19	0	17	270
14	0	18	0
